atom_id,name,version,description,category,status,maturity,runtime,interface,hosting,signature_hash,function_count,source_url
mcp.aws-dataprocessing,Aws Dataprocessing,1.0.0,"The AWS DataProcessing MCP server provides AI code assistants with comprehensive data processing tools and real-time pipeline visibility across AWS Glue and Amazon EMR-EC2. This integration equips large language models (LLMs) with essential data engineering capabilities and contextual awareness, ena",Cloud & Storage,registered,stable,python3.10+,std-atom-http-v1,docker,0a81ef81da135dffc81169669da30828,1,mcp-main\src\aws-dataprocessing-mcp-server
mcp.aws-documentation,Aws Documentation,1.0.0,Model Context Protocol (MCP) server for AWS Documentation,Document & Data,registered,stable,python3.10+,std-atom-http-v1,docker,7d8424914dc71e80251470fece6aa039,1,mcp-main\src\aws-documentation-mcp-server
mcp.aws-for-sap-management,Aws For Sap Management,1.0.0,"An AWS Labs Model Context Protocol (MCP) server for AWS Systems Manager for SAP. This server enables AI agents to manage SAP applications registered with AWS Systems Manager for SAP, run configuration checks, and schedule recurring operations via Amazon EventBridge Scheduler.",Cloud & Storage,registered,stable,python3.10+,std-atom-http-v1,docker,89922d8f0957037772b2d715076e4552,1,mcp-main\src\aws-for-sap-management-mcp-server
mcp.aws-healthomics,Aws Healthomics,1.0.0,"A Model Context Protocol (MCP) server that provides AI assistants with comprehensive access to AWS HealthOmics services for genomic workflow management, execution, and analysis.",Cloud & Storage,registered,stable,python3.10+,std-atom-http-v1,docker,d27d79572f260183fdb26689037af1c5,1,mcp-main\src\aws-healthomics-mcp-server
mcp.aws-iac,Aws Iac,1.0.0,"Get started with this MCP server for creating and troubleshooting AWS infrastructure as code. Tools include CloudFormation template validation, compliance checking, deployment troubleshooting, CloudFormation documentation search, AWS CDK documentation search with official CDK knowledge bases, CDK co",Document & Data,registered,stable,python3.10+,std-atom-http-v1,docker,8e0099ba384f9f12d21fb8930c8558b0,8,mcp-main\src\aws-iac-mcp-server
mcp.aws-iot-sitewise,Aws Iot Sitewise,1.0.0,"A comprehensive MCP (Model Context Protocol) server that provides full AWS IoT SiteWise functionality for industrial IoT asset management, data ingestion, monitoring, and analytics. This server enables AI assistants to interact with AWS IoT SiteWise through a rich set of tools and prompts.",Cloud & Storage,registered,stable,python3.10+,std-atom-http-v1,docker,7ce5ab54aee7499009e189913ea158d6,1,mcp-main\src\aws-iot-sitewise-mcp-server
mcp.aws-knowledge,Aws Knowledge,1.0.0,"A fully managed remote MCP server that provides up-to-date documentation, code samples, agent skills, knowledge about the regional availability of AWS APIs and CloudFormation resources, and other official AWS content.",Cloud & Storage,registered,stable,python3.10+,std-atom-http-v1,docker,5f7fb0e00df95b6ea53beb1c3f19c8cb,1,mcp-main\src\aws-knowledge-mcp-server
mcp.aws-location,Aws Location,1.0.0,Model Context Protocol (MCP) server for Amazon Location Service,Web & Browser,registered,stable,python3.10+,std-atom-http-v1,docker,aaaab60a35e79fdab0ea26ce04e4120c,8,mcp-main\src\aws-location-mcp-server
mcp.aws-network,Aws Network,1.0.0,"A Model Context Protocol (MCP) server providing comprehensive tools for troubleshooting and analyzing AWS core networking services including Cloud WAN, Transit Gateway, VPC, Network Firewall, and VPN connections.",Cloud & Storage,registered,stable,python3.10+,std-atom-http-v1,docker,f451abe9ef18dec3d5d9ea38016eb573,1,mcp-main\src\aws-network-mcp-server
mcp.aws-pricing,Aws Pricing,1.0.0,MCP server for accessing real-time AWS pricing information and providing cost analysis capabilities,Web & Browser,registered,stable,python3.10+,std-atom-http-v1,docker,82ed19664cc0b8a036e9660041ec80ea,9,mcp-main\src\aws-pricing-mcp-server
mcp.aws-serverless,Aws Serverless,1.0.0,"The AWS Serverless Model Context Protocol (MCP) Server is an open-source tool that combines AI assistance with serverless expertise to streamline how developers build serverless applications. It provides contextual guidance specific to serverless development, helping developers make informed decisio",Cloud & Storage,registered,stable,python3.10+,std-atom-http-v1,docker,04a7ca7c7b9715ad6f43c29b4f0a2f0f,1,mcp-main\src\aws-serverless-mcp-server
mcp.aws-support,Aws Support,1.0.0,A Model Context Protocol (MCP) server implementation for interacting with the AWS Support API. This server enables AI assistants to create and manage AWS support cases programmatically.,Cloud & Storage,registered,stable,python3.10+,std-atom-http-v1,docker,f409b2f99969b8fcf23c420d3db111df,11,mcp-main\src\aws-support-mcp-server
mcp.aws-transform,Aws Transform,1.0.0,[![PyPI Downloads](https://static.pepy.tech/personalized-badge/awslabs-aws-transform-mcp-server?period=total&units=INTERNATIONAL_SYSTEM&left_color=BLACK&right_color=GREEN&left_text=downloads)](https://pepy.tech/projects/awslabs-aws-transform-mcp-server) [![PyPI Downloads/month](https://static.pepy.t,Cloud & Storage,registered,stable,python3.10+,std-atom-http-v1,docker,6f324819a819abb88ee689280e318c54,1,mcp-main\src\aws-transform-mcp-server
mcp.bedrock-kb-retrieval,Bedrock Kb Retrieval,1.0.0,MCP server for accessing Amazon Bedrock Knowledge Bases,Integration,registered,stable,python3.10+,std-atom-http-v1,docker,9f184bd0f115fb1f50d1f3534dcd45e5,2,mcp-main\src\bedrock-kb-retrieval-mcp-server
mcp.billing-cost-management,Billing Cost Management,1.0.0,MCP server for accessing AWS Billing and Cost Management capabilities.,Integration,registered,stable,python3.10+,std-atom-http-v1,docker,6b53f77c4a8d54b03a69b09c652e1b28,1,mcp-main\src\billing-cost-management-mcp-server
mcp.ccapi,Ccapi,1.0.0,"> **⚠️ DEPRECATION NOTICE**: This server is deprecated and will no longer receive updates. Please migrate to the [AWS IAC MCP Server](https://github.com/awslabs/mcp/tree/main/src/aws-iac-mcp-server), which provides infrastructure-as-code authoring with CloudFormation and CDK documentation, template ",Web & Browser,registered,stable,python3.10+,std-atom-http-v1,docker,f3dab3a22f0492d912498419acb4bf62,14,mcp-main\src\ccapi-mcp-server
mcp.cloudtrail,Cloudtrail,1.0.0,"This AWS Labs Model Context Protocol (MCP) server for CloudTrail enables your AI agents to query AWS account activity for security investigations, compliance auditing, and operational troubleshooting. It provides comprehensive access to CloudTrail events and CloudTrail Lake analytics, allowing agent",AI & Model,registered,stable,python3.10+,std-atom-http-v1,docker,7be83b3e9136aabe483876313c04e64b,1,mcp-main\src\cloudtrail-mcp-server
mcp.cloudwatch,Cloudwatch,1.0.0,"This AWS Labs Model Context Protocol (MCP) server for CloudWatch enables your troubleshooting agents to use CloudWatch data to do AI-powered root cause analysis and provide recommendations. It offers comprehensive observability tools that simplify monitoring, reduce context switching, and help teams",Cloud & Storage,registered,stable,python3.10+,std-atom-http-v1,docker,e8c3119eabec2885647f146170586b3d,1,mcp-main\src\cloudwatch-mcp-server
mcp.cloudwatch-applicationsignals,Cloudwatch Applicationsignals,1.0.0,An MCP (Model Context Protocol) server that provides comprehensive tools for monitoring and analyzing AWS services using [AWS Application Signals](https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/CloudWatch-Application-Signals.html).,AI & Model,registered,stable,python3.10+,std-atom-http-v1,docker,6d309cd94bd42f191ff4379c0f57e3b2,5,mcp-main\src\cloudwatch-applicationsignals-mcp-server
mcp.document-loader,Document Loader,1.0.0,Model Context Protocol (MCP) server for document parsing and content extraction,Document & Data,registered,stable,python3.10+,std-atom-http-v1,docker,460837c4b133af2df3d9f063bebc5077,3,mcp-main\src\document-loader-mcp-server
mcp.documentdb,Documentdb,1.0.0,An AWS Labs Model Context Protocol (MCP) server for AWS DocumentDB that enables AI assistants to interact with DocumentDB databases.,Document & Data,registered,stable,python3.10+,std-atom-http-v1,docker,0edbee1469f761139825006a55c2cb73,1,mcp-main\src\documentdb-mcp-server
mcp.dynamodb,Dynamodb,1.0.0,The official developer experience MCP Server for Amazon DynamoDB. This server provides DynamoDB expert design guidance and data modeling assistance.,Database,registered,stable,python3.10+,std-atom-http-v1,docker,bf6a631d0c0bfb2469777069881e9a70,1,mcp-main\src\dynamodb-mcp-server
mcp.ecs,Ecs,1.0.0,[![PyPI version](https://img.shields.io/pypi/v/awslabs.ecs-mcp-server.svg)](https://pypi.org/project/awslabs.ecs-mcp-server/),Integration,registered,stable,python3.10+,std-atom-http-v1,docker,da6e4aa87fcebfcb8ecde073e5275a69,1,mcp-main\src\ecs-mcp-server
mcp.eks,Eks,1.0.0,"The Amazon EKS MCP server provides AI code assistants with resource management tools and real-time cluster state visibility. This provides large language models (LLMs) with essential tooling and contextual awareness, enabling AI code assistants to streamline application development through tailored ",Integration,registered,stable,python3.10+,std-atom-http-v1,docker,797a39f22c4e794308bfa4713406cf69,1,mcp-main\src\eks-mcp-server
mcp.elasticache,Elasticache,1.0.0,The official MCP Server for interacting with AWS ElastiCache control plane. In order to interact with your data in ElastiCache Serverless caches and self-designed clusters use the [Valkey MCP Server](https://github.com/awslabs/mcp/blob/main/src/valkey-mcp-server) or the [Memcached MCP Server](https:,Integration,registered,stable,python3.10+,std-atom-http-v1,docker,04145e42fb4dcff5d789424415c2d01a,1,mcp-main\src\elasticache-mcp-server
mcp.finch,Finch,1.0.0,A Model Context Protocol (MCP) server for Finch that enables generative AI models to build and push container images through finch cli leveraged MCP tools.,AI & Model,registered,stable,python3.10+,std-atom-http-v1,docker,8c26bb33f95f14e5814e7775f47a15c8,3,mcp-main\src\finch-mcp-server
mcp.healthimaging,Healthimaging,1.0.0,"The AWS HealthImaging MCP Server enables AI assistants to interact with AWS HealthImaging services through the Model Context Protocol (MCP). It provides comprehensive medical imaging data lifecycle management with **39 specialized tools** for DICOM operations, datastore management, and advanced medi",Integration,registered,stable,python3.10+,std-atom-http-v1,docker,75417c164df6eb920f9d3b3152952d9c,1,mcp-main\src\healthimaging-mcp-server
mcp.healthlake,Healthlake,1.0.0,A Model Context Protocol (MCP) server for AWS HealthLake FHIR operations. Provides 11 tools for comprehensive FHIR resource management with automatic datastore discovery.,Integration,registered,stable,python3.10+,std-atom-http-v1,docker,f6357e216a4a4aa4a80a805cbeb84357,1,mcp-main\src\healthlake-mcp-server
mcp.iam,Iam,1.0.0,"A Model Context Protocol (MCP) server for comprehensive AWS Identity and Access Management (IAM) operations. This server provides AI assistants with the ability to manage IAM users, roles, policies, and permissions while following security best practices.",Document & Data,registered,stable,python3.10+,std-atom-http-v1,docker,824d873f5d9af7de1a585b0183cc1588,29,mcp-main\src\iam-mcp-server
mcp.lambda-tool,Lambda Tool,1.0.0,A Model Context Protocol (MCP) server for AWS Lambda to select and run Lambda function as MCP tools without code changes.,Integration,registered,stable,python3.10+,std-atom-http-v1,docker,aff3c519e38a098d44a19fa6ddf91b36,1,mcp-main\src\lambda-tool-mcp-server
mcp.memcached,Memcached,1.0.0,MCP server for interacting with Amazon ElastiCache Memcached through a secure and reliable connection,Integration,registered,stable,python3.10+,std-atom-http-v1,docker,cb28da9b42180a734ebab4d6754ad32c,1,mcp-main\src\memcached-mcp-server
mcp.mssql,Mssql,1.0.0,An AWS Labs Model Context Protocol (MCP) server for Microsoft SQL Server on AWS RDS.,Database,registered,stable,python3.10+,std-atom-http-v1,docker,a3084c26be1a3087ebc92ab0de2528cb,5,mcp-main\src\mssql-mcp-server
mcp.mysql,Mysql,1.0.0,An AWS Labs Model Context Protocol (MCP) server for Aurora MySQL,Database,registered,stable,python3.10+,std-atom-http-v1,docker,4bb279b12b9ea81a607d123552c08673,7,mcp-main\src\mysql-mcp-server
mcp.openapi,Openapi,1.0.0,This project is a server that dynamically creates Model Context Protocol (MCP) tools and resources from OpenAPI specifications. It allows Large Language Models (LLMs) to interact with APIs through the Model Context Protocol.,Web & Browser,registered,stable,python3.10+,std-atom-http-v1,docker,83e7b2468936ca9640ab735bbe99de98,1,mcp-main\src\openapi-mcp-server
mcp.oracle,Oracle,1.0.0,An AWS Labs Model Context Protocol (MCP) server for Oracle Database on AWS RDS.,Database,registered,stable,python3.10+,std-atom-http-v1,docker,4fc67233105921e18c37025a3b2b89f4,5,mcp-main\src\oracle-mcp-server
mcp.postgres,Postgres,1.0.0,An AWS Labs Model Context Protocol (MCP) server for Aurora Postgres,Database,registered,stable,python3.10+,std-atom-http-v1,docker,de5ed413bd723b665e0e7569aaa2d8f9,7,mcp-main\src\postgres-mcp-server
mcp.prometheus,Prometheus,1.0.0,"The Prometheus MCP Server provides a robust interface for interacting with AWS Managed Prometheus, enabling users to execute PromQL queries, list metrics, and retrieve server information with AWS SigV4 authentication support.",AI & Model,registered,stable,python3.10+,std-atom-http-v1,docker,bddf412e74b4389ac01f7d5b0b7767e1,5,mcp-main\src\prometheus-mcp-server
mcp.redshift,Redshift,1.0.0,Model Context Protocol (MCP) server for Amazon Redshift.,Database,registered,stable,python3.10+,std-atom-http-v1,docker,9e505d4d587d97dfd804dd7dfd8ba898,6,mcp-main\src\redshift-mcp-server
mcp.roda,Roda,1.0.0,"Model Context Protocol (MCP) server for discovering and exploring datasets from the [Registry of Open Data on AWS (RODA)](https://registry.opendata.aws/). The Registry hosts hundreds of publicly available datasets including climate data, genomics, satellite imagery, and more on Amazon Simple Storage",Web & Browser,registered,stable,python3.10+,std-atom-http-v1,docker,9d03169053f9ecfde3c5edfa0e7e08f3,10,mcp-main\src\roda-mcp-server
mcp.s3-tables,S3 Tables,1.0.0,"> ## ⚠️ IMPORTANT: YOU ARE RESPONSIBLE FOR YOUR AGENTS > > You are solely responsible for the actions and permissions of agents using the MCP server. > > - By default, the MCP server operates in **read-only mode**.",Cloud & Storage,registered,stable,python3.10+,std-atom-http-v1,docker,ed103a0ec2ec1da60aea3d7c3813d3ef,1,mcp-main\src\s3-tables-mcp-server
mcp.sagemaker-ai,Sagemaker Ai,1.0.0,"The Amazon SageMaker AI MCP server provides agents with tools to enable high-performance, low-cost AI/ML model development. Currently, this server includes tools for managing SageMaker HyperPod clusters.",AI & Model,registered,stable,python3.10+,std-atom-http-v1,docker,358798231641685d7ba9dd323702b3ac,1,mcp-main\src\sagemaker-ai-mcp-server
mcp.sagemaker-unified-studio-spark-troubleshooting,Sagemaker Unified Studio Spark Troubleshooting,1.0.0,"A fully managed remote MCP server that provides specialized tools for troubleshooting Apache Spark applications on Amazon EMR, AWS Glue, and Amazon SageMaker Notebooks. This server simplifies the troubleshooting process through conversational AI capabilities, automated workload analysis, and intelli",Integration,registered,stable,python3.10+,std-atom-http-v1,docker,e49468d00ed71e9198d4d4f4464bb8f8,1,mcp-main\src\sagemaker-unified-studio-spark-troubleshooting-mcp-server
mcp.sagemaker-unified-studio-spark-upgrade,Sagemaker Unified Studio Spark Upgrade,1.0.0,"A fully managed remote MCP server that provides specialized tools and guidance for upgrading Apache Spark applications on Amazon EMR. This server accelerates Spark version upgrades through automated analysis, code transformation, and validation capabilities.",Integration,registered,stable,python3.10+,std-atom-http-v1,docker,179957211a209677df0b5650b0f27cd1,1,mcp-main\src\sagemaker-unified-studio-spark-upgrade-mcp-server
mcp.security-agent,Security Agent,1.0.0,[![License: Apache-2.0](https://img.shields.io/badge/License-Apache%202.0-yellow.svg)](https://opensource.org/licenses/Apache-2.0) [![Python 3.10+](https://img.shields.io/badge/python-3.10+-blue.svg)](https://www.python.org/downloads/),Web & Browser,registered,stable,python3.10+,std-atom-http-v1,docker,0cf3dfbdb183331a028845fc2a7adc0c,11,mcp-main\src\security-agent-mcp-server
mcp.stepfunctions-tool,Stepfunctions Tool,1.0.0,A Model Context Protocol (MCP) server for AWS Step Functions to select and run state machines as MCP tools without code changes.,Integration,registered,stable,python3.10+,std-atom-http-v1,docker,eb7ca0f4a28f163811d6f0fda0276841,1,mcp-main\src\stepfunctions-tool-mcp-server
mcp.timestream-for-influxdb,Timestream For Influxdb,1.0.0,"An AWS Labs Model Context Protocol (MCP) server for Timestream for InfluxDB. This server provides tools to interact with AWS Timestream for InfluxDB APIs, allowing you to create and manage database instances, clusters, parameter groups, and more. It also includes tools to interact with InfluxDB's wr",Database,registered,stable,python3.10+,std-atom-http-v1,docker,8a62184e3ba63909e6477abf15fac809,26,mcp-main\src\timestream-for-influxdb-mcp-server
mcp.valkey,Valkey,1.0.0,An AWS Labs Model Context Protocol (MCP) server for Amazon ElastiCache [Valkey](https://valkey.io/) datastores.,Integration,registered,stable,python3.10+,std-atom-http-v1,docker,a5f42266cf9ac6c3258342a8eea56c8f,1,mcp-main\src\valkey-mcp-server
mcp.well-architected-security,Well Architected Security,1.0.0,[![PyPI version](https://img.shields.io/pypi/v/awslabs.well-architected-security-mcp-server.svg)](https://pypi.org/project/awslabs.well-architected-security-mcp-server/),Document & Data,registered,stable,python3.10+,std-atom-http-v1,docker,0d5072c2700467588f22310bc6356bfd,6,mcp-main\src\well-architected-security-mcp-server
